Topic,Question Text,Options,Answer,Difficulty Level,Bloom's Taxonomy Level
Dynamic Programming,What is the key idea behind the greedy algorithm paradigm?,"A. Solving subproblems and combining their solutions, B. Optimally solving the main problem, C. Dividing the problem into subproblems and solving them independently, D. Making the locally optimal choice at each stage",D,Medium,Apply
Graph Algorithms,What is the time complexity of Dijkstra's algorithm for finding the shortest path in a weighted graph?,"A. O(V), B. O(E), C. O(V log V), D. O(E log V)",C,Moderate,Apply
Hash Tables,What is the purpose of quadratic probing in open addressing for collision resolution?,"A. Faster access time, B. Better memory utilization, C. Handling collisions by checking the next slot, D. Avoiding collisions",C,Medium,Apply
Graph Representation,Which representation of a graph is most suitable for a dense graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",A,Moderate,Apply
Sorting,What is the time complexity of the quicksort algorithm in the average case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Moderate,Apply
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of linear search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Storing results of expensive function calls and returning the cached result when the same inputs occur again, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of Prim's algorithm for finding a minimum spanning tree?,"A. O(V), B. O(E), C. O(V log V), D. O(E log V)",C,Moderate,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Trees,What is the height of a balanced binary search tree with 31 nodes?,"A. 4, B. 5, C. 6, D. 7",B,Medium,Analyze
Arrays,What is the time complexity of merging two sorted arrays of lengths m and n into a new array?,"A. O(m), B. O(n), C. O(m + n), D. O(m * n)",C,Medium,Apply
Linked Lists,What is the purpose of a dummy node in a linked list?,"A. To represent the last node, B. To improve memory utilization, C. To avoid NULL pointer errors, D. To simplify the traversal process",C,Easy,Understand
Queues,What is the purpose of a priority queue in computer science?,"A. To execute processes in order, B. To maintain elements in a specific order, C. To schedule tasks based on priority, D. To avoid race conditions",C,Medium,Apply
Graphs,What is a bipartite graph?,"A. A graph with two connected components, B. A graph with two vertices, C. A graph with two edges, D. A graph whose vertices can be divided into two disjoint sets",D,Medium,Analyze
Hashing,What is the primary advantage of using separate chaining for collision resolution in hashing?,"A. Simplicity of implementation, B. Better memory utilization, C. Faster access time, D. Avoidance of collisions",A,Easy,Understand
Heaps,What is the time complexity of inserting an element into a binary max-heap of height h?,"A. O(1), B. O(log h), C. O(h), D. O(h log h)",B,Moderate,Apply
Recursion,What is the concept of tail recursion in recursive algorithms?,"A. A recursion with no base case, B. A recursion with only one recursive call at the end, C. A recursion with multiple recursive calls, D. A recursion that uses a loop instead of recursion",B,Easy,Understand
Dynamic Programming,What is the main advantage of memoization in dynamic programming?,"A. Improved performance, B. Reduced space complexity, C. Simplicity of implementation, D. Avoidance of recursion",A,Medium,Apply
Graph Algorithms,What is the purpose of Kosaraju's algorithm in graph theory?,"A. Finding strongly connected components, B. Detecting cycles, C. Computing shortest paths, D. Constructing a minimum spanning tree",A,Moderate,Apply
Hash Tables,What is the purpose of double hashing in open addressing for collision resolution?,"A. Efficient memory utilization, B. Efficient search time, C. Handling collisions by checking the next slot, D. Avoiding collisions",D,Medium,Apply
Graph Representation,Which representation of a graph is most suitable for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the selection sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",C,Easy,Understand
Recursion,What is the role of a recursive helper function in a recursive algorithm?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Medium,Apply
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of tabulation in dynamic programming?,"A. Storing results of expensive function calls, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of depth-first search (DFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of linear probing in open addressing for collision resolution?,"A. Faster access time, B. Better memory utilization, C. Handling collisions by checking the next slot, D. Avoiding collisions",C,Moderate,Apply
Graph Representation,Which representation of a graph is more space-efficient for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the merge sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Medium,Analyze
Recursion,What is the purpose of a recursive helper function?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Easy,Remember
Search Algorithms,Which data structure is typically used to implement a priority queue?,"A. Array, B. Linked List, C. Heap, D. Stack",C,Easy,Understand
Dynamic Programming,What is the key idea behind the greedy algorithm paradigm?,"A. Solving subproblems and combining their solutions, B. Optimally solving the main problem, C. Dividing the problem into subproblems and solving them independently, D. Making the locally optimal choice at each stage",D,Medium,Apply
Graph Algorithms,What is the time complexity of Dijkstra's algorithm for finding the shortest path in a weighted graph?,"A. O(V), B. O(E), C. O(V log V), D. O(E log V)",C,Moderate,Apply
Hash Tables,What is the purpose of quadratic probing in open addressing for collision resolution?,"A. Faster access time, B. Better memory utilization, C. Handling collisions by checking the next slot, D. Avoiding collisions",C,Medium,Apply
Graph Representation,Which representation of a graph is most suitable for a dense graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",A,Moderate,Apply
Sorting,What is the time complexity of the quicksort algorithm in the average case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Moderate,Apply
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of linear search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Storing results of expensive function calls and returning the cached result when the same inputs occur again, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of Prim's algorithm for finding a minimum spanning tree?,"A. O(V), B. O(E), C. O(V log V), D. O(E log V)",C,Moderate,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Arrays,What is the time complexity of finding the maximum element in an unsorted array?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Linked Lists,What is the purpose of a dummy node in a linked list?,"A. To confuse algorithms, B. To improve memory allocation, C. To simplify insertion and deletion, D. To mark the end of the list",C,Medium,Analyze
Queues,Which data structure is typically used to implement a priority queue?,"A. Heap, B. Stack, C. Linked List, D. Queue",A,Medium,Apply
Trees,What is the maximum number of leaf nodes in a binary tree with height h?,"A. 2^h, B. h+1, C. h, D. 2h",B,Medium,Analyze
Graphs,What is the purpose of Kruskal's algorithm in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",B,Medium,Apply
Sorting,Which sorting algorithm is known for its stability?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Analyze
Recursion,What is the significance of the base case in recursive algorithms?,"A. Termination condition, B. Optimization, C. Memoization, D. Dynamic programming",A,Easy,Remember
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems must be independent, B. Optimal solution contains optimal solutions to subproblems, C. Each subproblem is solved only once, D. No overlapping subproblems",B,Medium,Analyze
Hashing,What is the purpose of open addressing in collision resolution?,"A. Create additional hash functions, B. Separate chaining, C. Linear probing, D. Quadratic probing",C,Medium,Apply
Arrays,What is the time complexity of reversing an array in-place?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Linked Lists,What is the main advantage of a doubly linked list over a singly linked list?,"A. Constant time access, B. Efficient insertion and deletion, C. Circular structure, D. No advantage",B,Easy,Remember
Queues,Which operation checks if a queue is empty?,"A. Front, B. Rear, C. IsEmpty, D. Dequeue",C,Easy,Understand
Trees,What is the height of a binary search tree with 15 nodes in the worst case?,"A. 4, B. 7, C. 14, D. 15",B,Medium,Analyze
Graphs,What is the purpose of Dijkstra's algorithm in graph theory?,"A. Finding cycles, B. Shortest path, C. Topological sorting, D. Minimum spanning tree",B,Medium,Apply
Sorting,What is the time complexity of the insertion sort algorithm in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Recursion,What is the key idea behind the Tower of Hanoi problem solution using recursion?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Reducing time complexity, B. Storing intermediate results, C. Topological sorting, D. Hashing",B,Medium,Apply
Hashing,What is the time complexity of searching for an element in a hash table using open addressing?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Arrays,What is the advantage of using a dynamic array over a static array?,"A. Fixed size, B. Variable size, C. Faster access time, D. Contiguous memory allocation",B,Medium,Analyze
Linked Lists,What is the purpose of a tail pointer in a linked list?,"A. Marking the beginning, B. Pointing to the last node, C. Improving memory allocation, D. Enabling circular traversal",B,Easy,Understand
Queues,What is the time complexity of enqueue operation in a circular queue with fixed size?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Trees,What is the maximum number of nodes in a binary tree of height h?,"A. 2^h, B. h+1, C. h, D. 2h",A,Medium,Analyze
Graphs,What is the purpose of Prim's algorithm in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Analyze
Recursion,What is the difference between tail recursion and non-tail recursion?,"A. Memory usage, B. Time complexity, C. Termination condition, D. Dynamic programming",A,Medium,Apply
Dynamic Programming,What is the time complexity of the knapsack problem solution using dynamic programming?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",D,Medium,Apply
Hashing,What is the purpose of a hash function in hash tables?,"A. Handle collisions, B. Sort elements, C. Perform arithmetic operations, D. Create random access",A,Medium,Analyze
Arrays,What is the space complexity of the bubble sort algorithm?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Easy,Understand
Linked Lists,What is the time complexity of finding the middle element in a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Queues,Which data structure is typically used to implement a double-ended queue?,"A. Stack, B. Linked List, C. Array, D. Queue",B,Easy,Understand
Trees,What is the purpose of a binary search tree?,"A. Store elements in sorted order, B. Enable random access, C. Support parallel processing, D. Ensure constant time access",A,Medium,Apply
Graphs,What is the time complexity of depth-first search in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(V * E)",C,Medium,Apply
Sorting,What is the key idea behind the quicksort algorithm?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Analyze
Recursion,What is the time complexity of the factorial function when implemented using recursion?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems must be independent, B. Optimal solution contains optimal solutions to subproblems, C. Each subproblem is solved only once, D. No overlapping subproblems",B,Medium,Analyze
Hashing,What is the purpose of chaining in collision resolution?,"A. Create additional hash functions, B. Separate chaining, C. Linear probing, D. Quadratic probing",B,Medium,Apply
Arrays,What is the time complexity of finding the kth smallest element in a sorted matrix of size n x n?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Linked Lists,What is the main disadvantage of an array-based implementation of a list?,"A. Variable size, B. Inefficient memory usage, C. Limited access, D. Sequential storage",C,Medium,Analyze
Queues,Which operation checks if a stack is empty?,"A. Push, B. Pop, C. IsEmpty, D. Top",C,Easy,Remember
Trees,What is the time complexity of searching for an element in a binary search tree with n nodes in the worst case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Medium,Apply
Graphs,What is the purpose of breadth-first search in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",A,Medium,Analyze
Sorting,Which sorting algorithm is known for its stability?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Apply
Recursion,What is the key idea behind the Tower of Hanoi problem solution using recursion?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Reducing time complexity, B. Storing intermediate results, C. Topological sorting, D. Hashing",B,Medium,Apply
Hashing,What is the time complexity of searching for an element in a hash table using open addressing?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Arrays,What is the advantage of using a dynamic array over a static array?,"A. Fixed size, B. Variable size, C. Faster access time, D. Contiguous memory allocation",B,Medium,Analyze
Linked Lists,What is the purpose of a tail pointer in a linked list?,"A. Marking the beginning, B. Pointing to the last node, C. Improving memory allocation, D. Enabling circular traversal",B,Easy,Understand
Queues,What is the time complexity of enqueue operation in a circular queue with fixed size?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Trees,What is the maximum number of nodes in a binary tree of height h?,"A. 2^h, B. h+1, C. h, D. 2h",A,Medium,Analyze
Graphs,What is the purpose of Prim's algorithm in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Analyze
Recursion,What is the difference between tail recursion and non-tail recursion?,"A. Memory usage, B. Time complexity, C. Termination condition, D. Dynamic programming",A,Medium,Apply
Dynamic Programming,What is the time complexity of the knapsack problem solution using dynamic programming?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",D,Medium,Apply
Hashing,What is the purpose of a hash function in hash tables?,"A. Handle collisions, B. Sort elements, C. Perform arithmetic operations, D. Create random access",A,Medium,Analyze
Arrays,What is the space complexity of the bubble sort algorithm?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Easy,Understand
Linked Lists,What is the time complexity of finding the middle element in a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Queues,Which data structure is typically used to implement a double-ended queue?,"A. Stack, B. Linked List, C. Array, D. Queue",B,Easy,Understand
Trees,What is the purpose of a binary search tree?,"A. Store elements in sorted order, B. Enable random access, C. Support parallel processing, D. Ensure constant time access",A,Medium,Apply
Graphs,What is the time complexity of depth-first search in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(V * E)",C,Medium,Apply
Sorting,What is the key idea behind the quicksort algorithm?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Analyze
Recursion,What is the time complexity of the factorial function when implemented using recursion?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems must be independent, B. Optimal solution contains optimal solutions to subproblems, C. Each subproblem is solved only once, D. No overlapping subproblems",B,Medium,Analyze
Hashing,What is the purpose of chaining in collision resolution?,"A. Create additional hash functions, B. Separate chaining, C. Linear probing, D. Quadratic probing",B,Medium,Apply
Arrays,What is the time complexity of finding the kth smallest element in a sorted matrix of size n x n?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Linked Lists,What is the main disadvantage of an array-based implementation of a list?,"A. Variable size, B. Inefficient memory usage, C. Limited access, D. Sequential storage",C,Medium,Analyze
Queues,Which operation checks if a stack is empty?,"A. Push, B. Pop, C. IsEmpty, D. Top",C,Easy,Remember
Trees,What is the time complexity of searching for an element in a binary search tree with n nodes in the worst case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Medium,Apply
Graphs,What is the purpose of breadth-first search in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",A,Medium,Analyze
Sorting,Which sorting algorithm is known for its stability?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Apply
Recursion,What is the key idea behind the Tower of Hanoi problem solution using recursion?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Reducing time complexity, B. Storing intermediate results, C. Topological sorting, D. Hashing",B,Medium,Apply
Hashing,What is the time complexity of searching for an element in a hash table using open addressing?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Arrays,What is the advantage of using a dynamic array over a static array?,"A. Fixed size, B. Variable size, C. Faster access time, D. Contiguous memory allocation",B,Medium,Analyze
Linked Lists,What is the purpose of a tail pointer in a linked list?,"A. Marking the beginning, B. Pointing to the last node, C. Improving memory allocation, D. Enabling circular traversal",B,Easy,Understand
Queues,What is the time complexity of enqueue operation in a circular queue with fixed size?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Trees,What is the maximum number of nodes in a binary tree of height h?,"A. 2^h, B. h+1, C. h, D. 2h",A,Medium,Analyze
Graphs,What is the purpose of Prim's algorithm in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Analyze
Recursion,What is the difference between tail recursion and non-tail recursion?,"A. Memory usage, B. Time complexity, C. Termination condition, D. Dynamic programming",A,Medium,Apply
Dynamic Programming,What is the time complexity of the knapsack problem solution using dynamic programming?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",D,Medium,Apply
Hashing,What is the purpose of a hash function in hash tables?,"A. Handle collisions, B. Sort elements, C. Perform arithmetic operations, D. Create random access",A,Medium,Analyze
Arrays,What is the space complexity of the bubble sort algorithm?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Easy,Understand
Linked Lists,What is the time complexity of finding the middle element in a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Queues,Which data structure is typically used to implement a double-ended queue?,"A. Stack, B. Linked List, C. Array, D. Queue",B,Easy,Understand
Trees,What is the purpose of a binary search tree?,"A. Store elements in sorted order, B. Enable random access, C. Support parallel processing, D. Ensure constant time access",A,Medium,Apply
Graphs,What is the time complexity of depth-first search in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(V * E)",C,Medium,Apply
Sorting,What is the key idea behind the quicksort algorithm?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Analyze
Recursion,What is the time complexity of the factorial function when implemented using recursion?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems must be independent, B. Optimal solution contains optimal solutions to subproblems, C. Each subproblem is solved only once, D. No overlapping subproblems",B,Medium,Analyze
Hashing,What is the purpose of chaining in collision resolution?,"A. Create additional hash functions, B. Separate chaining, C. Linear probing, D. Quadratic probing",B,Medium,Apply
Arrays,What is the time complexity of finding the kth smallest element in a sorted matrix of size n x n?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Linked Lists,What is the main disadvantage of an array-based implementation of a list?,"A. Variable size, B. Inefficient memory usage, C. Limited access, D. Sequential storage",C,Medium,Analyze
Queues,Which operation checks if a stack is empty?,"A. Push, B. Pop, C. IsEmpty, D. Top",C,Easy,Remember
Trees,What is the time complexity of searching for an element in a binary search tree with n nodes in the worst case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Medium,Apply
Graphs,What is the purpose of breadth-first search in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",A,Medium,Analyze
Sorting,Which sorting algorithm is known for its stability?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Apply
Recursion,What is the key idea behind the Tower of Hanoi problem solution using recursion?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Reducing time complexity, B. Storing intermediate results, C. Topological sorting, D. Hashing",B,Medium,Apply
Hashing,What is the time complexity of searching for an element in a hash table using open addressing?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Arrays,What is the advantage of using a dynamic array over a static array?,"A. Fixed size, B. Variable size, C. Faster access time, D. Contiguous memory allocation",B,Medium,Analyze
Linked Lists,What is the purpose of a tail pointer in a linked list?,"A. Marking the beginning, B. Pointing to the last node, C. Improving memory allocation, D. Enabling circular traversal",B,Easy,Understand
Queues,What is the time complexity of enqueue operation in a circular queue with fixed size?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Trees,What is the maximum number of nodes in a binary tree of height h?,"A. 2^h, B. h+1, C. h, D. 2h",A,Medium,Analyze
Graphs,What is the purpose of Prim's algorithm in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Analyze
Recursion,What is the difference between tail recursion and non-tail recursion?,"A. Memory usage, B. Time complexity, C. Termination condition, D. Dynamic programming",A,Medium,Apply
Dynamic Programming,What is the time complexity of the knapsack problem solution using dynamic programming?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",D,Medium,Apply
Hashing,What is the purpose of a hash function in hash tables?,"A. Handle collisions, B. Sort elements, C. Perform arithmetic operations, D. Create random access",A,Medium,Analyze
Arrays,What is the space complexity of the bubble sort algorithm?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Easy,Understand
Linked Lists,What is the time complexity of finding the middle element in a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Queues,Which data structure is typically used to implement a double-ended queue?,"A. Stack, B. Linked List, C. Array, D. Queue",B,Easy,Understand
Trees,What is the purpose of a binary search tree?,"A. Store elements in sorted order, B. Enable random access, C. Support parallel processing, D. Ensure constant time access",A,Medium,Apply
Graphs,What is the time complexity of depth-first search in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(V * E)",C,Medium,Apply
Sorting,What is the key idea behind the quicksort algorithm?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Analyze
Recursion,What is the time complexity of the factorial function when implemented using recursion?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems must be independent, B. Optimal solution contains optimal solutions to subproblems, C. Each subproblem is solved only once, D. No overlapping subproblems",B,Medium,Analyze
Hashing,What is the purpose of chaining in collision resolution?,"A. Create additional hash functions, B. Separate chaining, C. Linear probing, D. Quadratic probing",B,Medium,Apply
Arrays,What is the time complexity of finding the kth smallest element in a sorted matrix of size n x n?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Linked Lists,What is the main disadvantage of an array-based implementation of a list?,"A. Variable size, B. Inefficient memory usage, C. Limited access, D. Sequential storage",C,Medium,Analyze
Queues,Which operation checks if a stack is empty?,"A. Push, B. Pop, C. IsEmpty, D. Top",C,Easy,Remember
Trees,What is the time complexity of searching for an element in a binary search tree with n nodes in the worst case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Medium,Apply
Graphs,What is the purpose of breadth-first search in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",A,Medium,Analyze
Sorting,Which sorting algorithm is known for its stability?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Apply
Recursion,What is the key idea behind the Tower of Hanoi problem solution using recursion?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Reducing time complexity, B. Storing intermediate results, C. Topological sorting, D. Hashing",B,Medium,Apply
Hashing,What is the time complexity of searching for an element in a hash table using open addressing?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Arrays,What is the advantage of using a dynamic array over a static array?,"A. Fixed size, B. Variable size, C. Faster access time, D. Contiguous memory allocation",B,Medium,Analyze
Linked Lists,What is the purpose of a tail pointer in a linked list?,"A. Marking the beginning, B. Pointing to the last node, C. Improving memory allocation, D. Enabling circular traversal",B,Easy,Understand
Queues,What is the time complexity of enqueue operation in a circular queue with fixed size?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Medium,Apply
Trees,What is the maximum number of nodes in a binary tree of height h?,"A. 2^h, B. h+1, C. h, D. 2h",A,Medium,Analyze
Graphs,What is the purpose of Prim's algorithm in graph theory?,"A. Shortest path, B. Minimum spanning tree, C. Topological sorting, D. Strongly connected components",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. QuickSort, B. MergeSort, C. BubbleSort, D. SelectionSort",B,Medium,Analyze
Recursion,What is the difference between tail recursion and non-tail recursion?,"A. Memory usage, B. Time complexity, C. Termination condition, D. Dynamic programming",A,Medium,Apply
Dynamic Programming,What is the time complexity of the knapsack problem solution using dynamic programming?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",D,Medium,Apply
Hashing,What is the purpose of a hash function in hash tables?,"A. Handle collisions, B. Sort elements, C. Perform arithmetic operations, D. Create random access",A,Medium,Analyze
Arrays,What is the space complexity of the bubble sort algorithm?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",A,Easy,Understand
Linked Lists,What is the time complexity of finding the middle element in a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Queues,Which data structure is typically used to implement a double-ended queue?,"A. Stack, B. Linked List, C. Array, D. Queue",B,Easy,Understand
Trees,What is the purpose of a binary search tree?,"A. Store elements in sorted order, B. Enable random access, C. Support parallel processing, D. Ensure constant time access",A,Medium,Apply
Graphs,What is the time complexity of depth-first search in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(V * E)",C,Medium,Apply
Sorting,What is the key idea behind the quicksort algorithm?,"A. Divide and conquer, B. Greedy approach, C. Dynamic programming, D. Memoization",A,Medium,Analyze
Recursion,What is the time complexity of the factorial function when implemented using recursion?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems must be independent, B. Optimal solution contains optimal solutions to subproblems, C. Each subproblem is solved only once, D. No overlapping subproblems",B,Medium,Analyze
